Timestamp,Pair,Bid,Ask,Open_Open,Open_High,Open_Low,Open_Close,High_Open,High_High,High_Low,High_Close,Low_Open,Low_High,Low_Low,Low_Close,Close_Open,Close_High,Close_Low,Close_Close
2022-01-05 09:40:00,EUR/USD,1.13033,1.1304,1.1304,1.13046,1.13002,1.13009,1.1304,1.13046,1.13002,1.13009,1.1304,1.13046,1.13002,1.13009,1.1304,1.13046,1.13002,1.13009
2022-01-05 15:15:00,EUR/USD,1.1343,1.13436,1.13436,1.13443,1.13415,1.13443,1.13436,1.13443,1.13415,1.13443,1.13436,1.13443,1.13415,1.13443,1.13436,1.13443,1.13415,1.13443
2022-01-07 13:40:00,EUR/USD,1.12974,1.12983,1.12983,1.13042,1.12932,1.12991,1.12983,1.13042,1.12932,1.12991,1.12983,1.13042,1.12932,1.12991,1.12983,1.13042,1.12932,1.12991
2022-01-11 18:50:00,EUR/USD,1.13675,1.1368,1.1368,1.13688,1.13663,1.13664,1.1368,1.13688,1.13663,1.13664,1.1368,1.13688,1.13663,1.13664,1.1368,1.13688,1.13663,1.13664
2022-01-14 12:15:00,EUR/USD,1.14535,1.14538,1.14538,1.14538,1.1447,1.14487,1.14538,1.14538,1.1447,1.14487,1.14538,1.14538,1.1447,1.14487,1.14538,1.14538,1.1447,1.14487
2022-01-18 13:20:00,EUR/USD,1.13653,1.13656,1.13656,1.13699,1.13629,1.13699,1.13656,1.13699,1.13629,1.13699,1.13656,1.13699,1.13629,1.13699,1.13656,1.13699,1.13629,1.13699
2022-01-21 16:50:00,EUR/USD,1.13429,1.13434,1.13434,1.1346,1.13429,1.13437,1.13434,1.1346,1.13429,1.13437,1.13434,1.1346,1.13429,1.13437,1.13434,1.1346,1.13429,1.13437
2022-01-24 02:50:00,EUR/USD,1.13338,1.13343,1.13343,1.13355,1.13325,1.13325,1.13343,1.13355,1.13325,1.13325,1.13343,1.13355,1.13325,1.13325,1.13343,1.13355,1.13325,1.13325
2022-01-25 18:10:00,EUR/USD,1.12908,1.12912,1.12912,1.12932,1.12904,1.12922,1.12912,1.12932,1.12904,1.12922,1.12912,1.12932,1.12904,1.12922,1.12912,1.12932,1.12904,1.12922
2022-01-26 19:50:00,EUR/USD,1.12527,1.12532,1.12532,1.12676,1.12515,1.12538,1.12532,1.12676,1.12515,1.12538,1.12532,1.12676,1.12515,1.12538,1.12532,1.12676,1.12515,1.12538
2022-01-27 14:35:00,EUR/USD,1.11524,1.1153,1.1153,1.11602,1.1151,1.11573,1.1153,1.11602,1.1151,1.11573,1.1153,1.11602,1.1151,1.11573,1.1153,1.11602,1.1151,1.11573
2022-01-31 22:00:00,EUR/USD,1.12318,1.12398,1.12398,1.12422,1.1239,1.12422,1.12398,1.12422,1.1239,1.12422,1.12398,1.12422,1.1239,1.12422,1.12398,1.12422,1.1239,1.12422
2022-02-02 09:15:00,EUR/USD,1.12867,1.12871,1.12871,1.12901,1.12869,1.12881,1.12871,1.12901,1.12869,1.12881,1.12871,1.12901,1.12869,1.12881,1.12871,1.12901,1.12869,1.12881
2022-02-03 07:00:00,EUR/USD,1.12909,1.12916,1.12916,1.12966,1.12914,1.1296,1.12916,1.12966,1.12914,1.1296,1.12916,1.12966,1.12914,1.1296,1.12916,1.12966,1.12914,1.1296
2022-02-03 15:20:00,EUR/USD,1.14092,1.14092,1.14092,1.14105,1.13997,1.14045,1.14092,1.14105,1.13997,1.14045,1.14092,1.14105,1.13997,1.14045,1.14092,1.14105,1.13997,1.14045
2022-02-03 15:25:00,EUR/USD,1.14038,1.14045,1.14045,1.14062,1.14013,1.14055,1.14045,1.14062,1.14013,1.14055,1.14045,1.14062,1.14013,1.14055,1.14045,1.14062,1.14013,1.14055
2022-02-04 14:55:00,EUR/USD,1.14207,1.14213,1.14213,1.1427,1.14153,1.14161,1.14213,1.1427,1.14153,1.14161,1.14213,1.1427,1.14153,1.14161,1.14213,1.1427,1.14153,1.14161
2022-02-04 18:00:00,EUR/USD,1.14543,1.14544,1.14544,1.14587,1.14535,1.14585,1.14544,1.14587,1.14535,1.14585,1.14544,1.14587,1.14535,1.14585,1.14544,1.14587,1.14535,1.14585
2022-02-04 20:10:00,EUR/USD,1.14515,1.14521,1.14521,1.1453,1.14497,1.14528,1.14521,1.1453,1.14497,1.14528,1.14521,1.1453,1.14497,1.14528,1.14521,1.1453,1.14497,1.14528
2022-02-07 11:05:00,EUR/USD,1.1424,1.1424,1.1424,1.14261,1.14207,1.14224,1.1424,1.14261,1.14207,1.14224,1.1424,1.14261,1.14207,1.14224,1.1424,1.14261,1.14207,1.14224
2022-02-08 06:00:00,EUR/USD,1.14169,1.14171,1.14171,1.14173,1.14139,1.14149,1.14171,1.14173,1.14139,1.14149,1.14171,1.14173,1.14139,1.14149,1.14171,1.14173,1.14139,1.14149
